Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2005,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2005,Feb. 2005,Mar. 2005,Apr. 2005,May 2005,Jun. 2005,Jul. 2005,Aug. 2005,Sep. 2005,Oct. 2005,Nov. 2005,Dec. 2005,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
," Retail and food services sales, total","293,261","295,062","339,141","335,632","345,348","350,945","351,827","355,701","333,289","336,134","343,798","405,608","4,085,746"
,Retail sales and food services excl motor vehicle and parts,"231,325","228,117","258,532","257,963","267,021","265,567","264,117","274,481","263,877","272,540","278,953","334,946","3,197,439"
,"Retail sales, total","263,469","265,320","306,384","302,054","311,292","317,375","316,887","321,409","300,439","302,213","311,715","370,726","3,689,283"
,"Retail sales, total (excl. motor vehicle and parts dealers)","201,533","198,375","225,775","224,385","232,965","231,997","229,177","240,189","231,027","238,619","246,870","300,064","2,800,976"
,GAFO(1),"72,963","74,808","82,664","81,063","84,175","84,379","83,562","88,789","81,830","86,755","98,658","139,953","1,059,599"
441,Motor vehicle and parts dealers,"61,936","66,945","80,609","77,669","78,327","85,378","87,710","81,220","69,412","63,594","64,845","70,662","888,307"
"4411,4412",Automobile and other motor vehicle dealers,"56,755","61,698","74,577","71,728","72,464","79,125","81,735","74,885","63,626","57,772","58,992","64,885","818,242"
4411,Automobile dealers,"53,509","57,407","68,039","64,571","65,429","71,603","75,311","68,925","58,825","53,555","55,055","60,842","753,071"
44111,New car dealers,"47,706","50,927","61,437","58,535","59,474","65,585","69,231","62,506","53,141","47,958","49,730","55,717","681,947"
44112,Used car dealers,"5,803","6,480","6,602","6,036","5,955","6,018","6,080","6,419","5,684","5,597","5,325","5,125","71,124"
4413,"Automotive parts, acc., and tire stores","5,181","5,247","6,032","5,941","5,863","6,253","5,975","6,335","5,786","5,822","5,853","5,777","70,065"
"442,443","Furniture, home furn, electronics, and appliance stores","15,442","15,436","16,590","15,551","16,191","16,772","16,752","17,980","17,030","16,895","19,780","25,162","209,581"
442,Furniture and home furnishings stores,"7,908","7,973","8,787","8,418","8,649","8,966","8,957","9,607","9,216","9,110","10,232","11,297","109,120"
4421,Furniture stores,"4,444","4,570","4,852","4,610","4,648","4,816","4,875","5,180","5,043","4,922","5,312","5,473","58,745"
4422,Home furnishings stores,"3,464","3,403","3,935","3,808","4,001","4,150","4,082","4,427","4,173","4,188","4,920","5,824","50,375"
44221,Floor covering stores,"1,545","1,564","1,797","1,770","1,873","1,939","1,847","2,030","2,004","1,898","1,957","1,901","22,125"
442299,All other home furnishings stores,"1,804","1,728","2,005","1,907","1,991","2,070","2,095","2,252","2,028","2,141","2,798","3,760","26,579"
443,Electronics and appliance stores,"7,534","7,463","7,803","7,133","7,542","7,806","7,795","8,373","7,814","7,785","9,548","13,865","100,461"
44311,"Appl.,TV, and other elect. stores","5,871","5,823","5,848","5,393","5,777","5,898","5,952","6,391","5,932","5,913","7,555","11,021","77,374"
443111,Household appliance stores,"1,217","1,222","1,329","1,334","1,358","1,470","1,395","1,430","1,369","1,411","1,523","1,734","16,792"
443112," Radio, T.V., and other elect. stores","4,654","4,601","4,519","4,059","4,419","4,428","4,557","4,961","4,563","4,502","6,032","9,287","60,582"
44312, Computer and software stores,"1,440","1,418","1,667","1,455","1,439","1,555","1,532","1,676","1,618","1,600","1,687","2,294","19,381"
444,Building mat. and garden equip. and supplies dealers,"20,056","19,965","26,297","29,822","31,644","30,931","27,368","28,332","27,402","27,708","26,720","24,557","320,802"
4441,Building mat. and supplies dealers,"18,474","18,255","23,435","25,194","26,549","26,863","24,677","25,872","25,192","25,244","24,435","22,414","286,604"
44412,Paint and wallpaper stores,611,612,777,847,917,962,887,910,902,886,810,721,"9,842"
44413, Hardware stores,"1,247","1,173","1,445","1,691","1,805","1,776","1,615","1,613","1,575","1,632","1,606","1,703","18,881"
445,Food and beverage stores,"40,592","37,829","42,159","40,917","42,964","42,445","43,688","42,816","41,985","42,420","42,710","47,959","508,484"
4451,Grocery stores,"37,176","34,286","38,210","36,908","38,742","38,219","39,289","38,627","37,844","38,251","38,354","41,761","457,667"
44511,Supermarkets and other grocery (except convenience) stores,"35,458","32,674","36,393","35,083","36,840","36,341","37,333","36,647","35,859","36,322","36,619","39,954","435,523"
4453,"Beer, wine, and liquor stores","2,219","2,316","2,530","2,640","2,709","2,783","2,924","2,791","2,784","2,801","2,933","4,137","33,567"
446,Health and personal care stores,"16,859","16,445","18,056","17,107","17,639","17,201","17,018","17,618","17,105","17,387","17,466","20,184","210,085"
44611,Pharmacies and drug stores,"14,416","14,022","15,399","14,583","15,105","14,682","14,501","15,013","14,615","14,846","14,885","17,103","179,170"
447,Gasoline stations,"25,566","24,982","29,380","30,549","31,151","31,862","33,888","36,204","36,260","36,557","31,260","31,264","378,923"
448,Clothing and clothing access. stores,"12,046","13,878","15,727","15,708","15,989","15,559","15,218","16,697","14,960","16,509","18,402","30,276","200,969"
4481,Clothing stores,"8,932","9,501","11,744","11,544","11,502","11,479","11,267","12,148","11,142","12,387","13,649","20,280","145,575"
44811, Men's clothing stores,575,576,699,672,698,719,646,740,634,717,809,"1,252","8,737"
44812,Women's clothing stores,"2,338","2,453","3,105","3,177","3,164","3,045","2,741","2,871","2,963","3,120","3,342","4,756","37,075"
44814,Family clothing stores,"4,425","4,903","6,098","5,977","5,962","5,963","6,135","6,591","5,770","6,634","7,547","11,287","77,292"
44819,Other clothing stores,808,704,798,749,766,836,761,839,748,842,830,"1,463","10,144"
4482,Shoe stores,"1,539","1,838","2,073","2,117","2,079","1,975","2,053","2,462","1,935","2,105","2,140","2,947","25,263"
44831,Jewelry stores,"1,469","2,412","1,786","1,924","2,261","1,968","1,767","1,954","1,756","1,892","2,471","6,761","28,421"
451,"Sporting goods, hobby, book, and music stores","6,270","5,336","6,067","5,933","5,942","6,082","6,193","7,404","6,239","5,978","7,260","12,185","80,889"
45111, Sporting goods stores,"1,956","1,976","2,408","2,539","2,493","2,655","2,652","2,788","2,338","2,246","2,492","4,170","30,713"
45112," Hobby, toy, and game stores",950,980,"1,173","1,098","1,061","1,049","1,077","1,028","1,019","1,229","2,120","3,471","16,255"
451211,Book stores,"2,076","1,086","1,101",997,"1,120","1,154","1,214","2,218","1,554","1,064","1,151","2,257","16,992"
452,General merchandise stores,"36,247","37,137","41,217","41,008","42,932","42,933","42,335","43,077","40,281","44,135","49,757","67,326","528,385"
4521,Department stores (excl.L.D),"14,218","14,943","16,601","16,666","16,947","17,150","16,323","17,199","15,506","17,456","21,171","31,086","215,266"
452112,Discount dept. stores,"9,001","9,073","10,211","10,117","10,299","10,559","10,318","10,598","9,388","10,744","12,757","17,450","130,515"
452111,Department stores(excl. discount department stores),"5,217","5,870","6,390","6,549","6,648","6,591","6,005","6,601","6,118","6,712","8,414","13,636","84,751"
4521,Department stores (incl. L.D.)(2),"14,581","15,324","17,015","17,091","17,394","17,597","16,732","17,630","15,894","17,889","21,708","31,821","220,676"
452112,Discount dept. stores,"9,190","9,260","10,426","10,337","10,528","10,786","10,530","10,817","9,581","10,965","13,016","17,779","133,215"
452111,Department stores(excl. discount department stores),"5,391","6,064","6,589","6,754","6,866","6,811","6,202","6,813","6,313","6,924","8,692","14,042","87,461"
4529,Other general merchandise stores,"22,029","22,194","24,616","24,342","25,985","25,783","26,012","25,878","24,775","26,679","28,586","36,240","313,119"
45291,Warehouse clubs and supercenters,"19,398","19,287","21,338","21,125","22,547","22,390","22,775","22,626","21,571","23,246","24,745","30,872","271,920"
