Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2007,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2007,Feb. 2007,Mar. 2007,Apr. 2007,May 2007,Jun. 2007,Jul. 2007,Aug. 2007,Sep. 2007,Oct. 2007,Nov. 2007,Dec. 2007,TOTAL
44831,Jewelry stores,"1,699","2,521","1,999","1,954","2,678","2,226","2,052","2,178","2,025","2,175","2,792","6,521","30,820"
451,"Sporting goods, hobby, book, and music stores","6,538","5,323","6,463","5,881","6,462","6,814","6,616","8,079","6,647","6,294","7,740","11,794","84,651"
45111, Sporting goods stores,"2,200","2,171","2,969","2,737","3,087","3,380","3,165","3,378","2,712","2,570","2,939","4,496","35,804"
45112," Hobby, toy, and game stores",948,974,"1,188","1,064","1,050","1,096","1,102","1,084","1,102","1,275","2,208","3,253","16,344"
451211,Book stores,"2,220","1,039","1,027",930,"1,134","1,161","1,220","2,327","1,578","1,129","1,227","2,179","17,171"
452,General merchandise stores,"40,930","40,959","46,408","45,014","47,879","47,122","45,847","48,371","43,958","46,285","54,310","71,499","578,582"
4521,Department stores (excl.L.D),"14,119","14,441","16,534","16,091","16,924","16,307","15,653","17,283","15,254","16,354","20,878","29,554","209,392"
452112,Discount dept. stores,"9,229","9,136","10,593","10,126","10,702","10,487","10,195","11,128","9,628","10,425","13,124","17,732","132,505"
452111,Department stores(excl. discount department stores),"4,890","5,305","5,941","5,965","6,222","5,820","5,458","6,155","5,626","5,929","7,754","11,822","76,887"
4521,Department stores (incl. L.D.)(2),"14,442","14,761","16,910","16,447","17,299","16,665","16,000","17,658","15,583","16,703","21,320","30,153","213,941"
452112,Discount dept. stores,"9,390","9,291","10,802","10,313","10,901","10,683","10,388","11,337","9,811","10,619","13,358","18,033","134,926"
452111,Department stores(excl. discount department stores),"5,052","5,470","6,108","6,134","6,398","5,982","5,612","6,321","5,772","6,084","7,962","12,120","79,015"
4529,Other general merchandise stores,"26,811","26,518","29,874","28,923","30,955","30,815","30,194","31,088","28,704","29,931","33,432","41,945","369,190"
45291,Warehouse clubs and supercenters,"23,826","23,432","26,305","25,435","27,163","27,231","26,736","27,534","25,356","26,270","29,236","36,439","324,963"
45299,All other gen. merchandise stores,"2,985","3,086","3,569","3,488","3,792","3,584","3,458","3,554","3,348","3,661","4,196","5,506","44,227"
453,Miscellaneous store retailers,"8,713","8,496","9,416","8,850","10,624","10,325","9,597","10,151","9,442","9,828","9,703","11,273","116,418"
4532,"Office supplies, stationery, and gift stores","3,273","3,119","3,307","2,978","3,289","3,138","3,229","3,883","3,311","3,522","3,563","4,633","41,245"
45321,Office supplies and stationery stores,"2,173","1,900","1,985","1,709","1,746","1,669","1,784","2,421","1,948","1,845","1,880","2,144","23,204"
45322,"Gift, novelty, and souvenir stores","1,100","1,219","1,322","1,269","1,543","1,469","1,445","1,462","1,363","1,677","1,683","2,489","18,041"
4533,Used merchandise stores,804,873,"1,037",828,927,885,836,895,885,"1,007",944,"1,009","10,930"
454,Nonstore retailers,"25,438","24,352","25,727","23,529","24,347","23,146","23,423","24,888","23,498","26,932","29,497","33,990","308,767"
4541,Electronic shopping and mail-order houses,"17,540","16,118","18,040","16,927","18,053","17,211","17,617","18,523","17,206","19,574","21,583","25,289","223,681"
45431,Fuel dealers,"4,268","4,657","3,566","2,777","2,268","1,978","1,989","2,207","2,338","2,988","3,719","4,681","37,436"
722,Food services and drinking places,"33,593","33,097","38,225","36,554","38,311","38,450","38,539","38,825","36,791","37,608","35,954","38,604","444,551"
7221,Full service restaurants,"15,272","15,043","17,176","16,159","16,816","16,860","16,720","17,025","15,599","15,926","15,555","17,354","195,505"
7222, Limited service eating places,"13,838","13,514","15,790","15,070","16,114","16,291","16,476","16,700","15,312","15,818","15,136","15,942","186,001"
7224,Drinking places (alcoholic beverages),"1,520","1,475","1,754","1,605","1,701","1,701","1,830","1,713","1,668","1,664","1,623","1,634","19,888"
,ADJUSTED(3),,,,,,,,,,,,,
," Retail and food services sales, total","363,317","363,946","367,433","365,883","370,621","368,206","369,892","371,013","373,858","374,811","377,992","375,203",
, Retail sales and food services excl motor vehicle and parts ,"287,898","288,257","291,855","290,151","293,841","293,072","294,705","294,459","295,936","297,542","302,550","301,631",
,"Retail sales, total","326,922","327,893","330,819","329,256","333,889","331,164","332,620","333,824","336,431","337,090","340,383","336,829",
,"Retail sales, total (excl. motor vehicle and parts dealers)","251,503","252,204","255,241","253,524","257,109","256,030","257,433","257,270","258,509","259,821","264,941","263,257",
,GAFO(1),"95,284","93,829","95,592","94,577","95,096","94,798","95,782","95,807","95,347","95,610","96,696","96,457",
441,Motor vehicle and parts dealers,"75,419","75,689","75,578","75,732","76,780","75,134","75,187","76,554","77,922","77,269","75,442","73,572",
"4411,4412",Automobile and other motor vehicle dealers,"69,294","69,642","69,348","69,594","70,536","68,923","68,964","70,288","71,634","70,834","69,166","67,340",
4413,"Automotive parts, acc., and tire stores","6,125","6,047","6,230","6,138","6,244","6,211","6,223","6,266","6,288","6,435","6,276","6,232",
"442,443","Furniture, home furn, electronics, and appliance stores","18,519","18,198","18,148","18,181","18,090","17,924","18,083","18,190","18,023","18,084","18,350","18,111",
442,Furniture and home furnishings stores,"9,609","9,380","9,415","9,440","9,322","9,245","9,325","9,308","9,132","9,133","9,110","9,002",
443,Electronics and appliance stores,"8,910","8,818","8,733","8,741","8,768","8,679","8,758","8,882","8,891","8,951","9,240","9,109",
44312, Computer and software stores,"1,720","1,681","1,641","1,663","1,654","1,642","1,689","1,722","1,739","1,722","1,740","1,786",
444,Building mat. and garden equip. and supplies dealers,"27,321","27,119","27,635","26,438","27,232","26,628","26,832","26,705","26,479","26,204","26,519","25,709",
4441,Building mat. and supplies dealers,"24,413","24,068","24,294","23,697","24,138","23,727","23,825","23,634","23,264","22,965","22,995","22,769",
445,Food and beverage stores,"44,860","45,270","45,177","45,078","45,417","45,576","45,847","45,557","45,937","46,161","46,576","46,873",
4451,Grocery stores,"40,253","40,646","40,491","40,499","40,701","40,830","41,125","40,874","41,179","41,421","41,826","42,038",
4453,"Beer, wine and liquor stores","3,080","3,125","3,160","3,106","3,214","3,253","3,232","3,181","3,198","3,163","3,179","3,235",
446,Health and personal care stores,"19,423","19,401","19,521","19,632","19,670","19,799","19,872","20,034","20,025","20,028","19,958","19,825",
44611,Pharmacies and drug stores,"16,668","16,637","16,723","16,733","16,792","16,851","16,966","16,975","16,985","16,942","16,968","17,069",
447,Gasoline stations,"34,130","34,973","35,963","36,314","38,031","37,275","36,996","37,155","38,327","39,425","41,897","41,593",
448,Clothing and clothing access. stores,"18,512","18,154","18,669","18,198","18,502","18,397","18,575","18,446","18,433","18,438","18,694","18,583",
4481,Clothing stores,"13,543","13,293","13,710","13,285","13,526","13,419","13,528","13,458","13,425","13,456","13,642","13,576",
44811, Men's clothing stores(4),788,769,736,749,734,720,721,673,700,723,736,755,
44812,Women's clothing stores,"3,414","3,363","3,407","3,372","3,517","3,440","3,137","3,360","3,327","3,350","3,331","3,335",
4482,Shoe stores,"2,272","2,153","2,286","2,207","2,209","2,230","2,273","2,263","2,221","2,203","2,249","2,245",
