Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL,,,,,
451,"Sporting goods, hobby, book, and music stores","6,701","5,289","5,937","5,883","6,154","6,304","6,220","7,671","6,381","5,762","6,645","11,122","80,069",,,,,
45111, Sporting goods stores,"2,438","2,344","2,890","2,954","3,114","3,285","3,204","3,412","2,774","2,565","2,782","4,744","36,506",,,,,
45112," Hobby, toy, and game stores","1,031","1,009","1,095","1,086","1,064","1,020","1,058","1,007","1,063","1,194","1,842","2,999","15,468",,,,,
451211,Book stores,"2,187",969,944,912,"1,052","1,039","1,037","2,293","1,519",959,963,"1,906","15,780",,,,,
452,General merchandise stores,"43,478","43,302","46,355","46,624","50,089","47,110","47,120","48,849","44,226","48,535","53,523","70,017","589,228",,,,,
4521,Department stores (excl.L.D),"12,663","12,881","14,071","14,590","15,397","14,217","14,187","15,354","13,523","14,992","18,303","26,621","186,799",,,,,
452112,Discount dept. stores,"8,662","8,554","9,400","9,596","10,136","9,553","9,632","10,340","8,876","9,871","11,842","16,750","123,212",,,,,
452111,Department stores(excl. discount department stores),"4,001","4,327","4,671","4,994","5,261","4,664","4,555","5,014","4,647","5,121","6,461","9,871","63,587",,,,,
4521,Department stores (incl. L.D.)(2),"12,909","13,100","14,347","14,871","15,654","14,443","14,420","15,603","13,741","15,282","18,605","27,031","190,006",,,,,
452112,Discount dept. stores,"8,796","8,686","9,554","9,751","10,257","9,665","9,748","10,466","8,983","10,038","11,982","16,946","124,872",,,,,
452111,Department stores(excl. discount department stores),"4,113","4,414","4,793","5,120","5,397","4,778","4,672","5,137","4,758","5,244","6,623","10,085","65,134",,,,,
4529,Other general merchandise stores,"30,815","30,421","32,284","32,034","34,692","32,893","32,933","33,495","30,703","33,543","35,220","43,396","402,429",,,,,
45291,Warehouse clubs and supercenters,"27,631","27,002","28,554","28,171","30,582","29,012","29,111","29,744","26,934","29,430","30,789","37,606","354,566",,,,,
45299,All other gen. merchandise stores,"3,184","3,419","3,730","3,863","4,110","3,881","3,822","3,751","3,769","4,113","4,431","5,790","47,863",,,,,
453,Miscellaneous store retailers,"7,625","7,786","8,238","8,264","8,886","8,872","8,488","8,376","8,399","8,707","8,073","10,064","101,778",,,,,
4532,"Office supplies, stationery, and gift stores","2,872","2,655","2,612","2,571","2,808","2,656","2,744","3,078","2,920","3,039","2,716","3,782","34,453",,,,,
45321,Office supplies and stationery stores,"1,926","1,608","1,601","1,449","1,422","1,406","1,469","1,904","1,746","1,559","1,481","1,837","19,408",,,,,
45322,"Gift, novelty, and souvenir stores",946,"1,047","1,011","1,122","1,386","1,250","1,275","1,174","1,174","1,480","1,235","1,945","15,045",,,,,
4533,Used merchandise stores,807,896,973,930,863,863,877,895,929,986,908,983,"10,910",,,,,
