Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1997,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1998,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997,TOTAL
4413,"Automotive parts, acc., and tire stores","4,390","4,216","4,787","4,997","5,034","5,042","5,307","5,209","5,009","5,230","4,746","4,577","58,544"
"442,443","Furniture, home furn, electronics, and appliance stores","10,601","10,146","11,193","10,921","11,402","11,274","11,695","12,103","11,720","12,042","13,102","16,577","142,776"
442,Furniture and home furnishings stores,"5,311","5,116","5,715","5,670","6,010","5,805","6,027","6,263","6,094","6,369","6,781","7,554","72,715"
4421,Furniture stores,"3,233","3,114","3,368","3,250","3,519","3,343","3,397","3,621","3,480","3,605","3,862","4,085","41,877"
4422,Home furnishings stores,"2,078","2,002","2,347","2,420","2,491","2,462","2,630","2,642","2,614","2,764","2,919","3,469","30,838"
44221,Floor covering stores,"1,162","1,127","1,298","1,345","1,340","1,362","1,376","1,355","1,451","1,514","1,368","1,352","16,050"
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"5,290","5,030","5,478","5,251","5,392","5,469","5,668","5,840","5,626","5,673","6,321","9,023","70,061"
44311,"Appl.,TV, and other elect. stores","3,265","3,098","3,240","3,087","3,265","3,305","3,484","3,585","3,340","3,345","4,023","5,955","42,992"
443111,Household appliance stores,778,724,809,792,841,919,970,886,828,858,903,"1,066","10,374"
443112," Radio, T.V., and other elect. stores","2,487","2,374","2,431","2,295","2,424","2,386","2,514","2,699","2,512","2,487","3,120","4,889","32,618"
44312, Computer and software stores,"1,869","1,782","2,071","1,995","1,936","1,966","1,984","2,051","2,105","2,153","2,106","2,709","24,727"
444,Building mat. and garden equip. and supplies dealers,"12,505","12,534","15,084","17,183","18,390","17,601","17,455","16,268","16,662","17,319","14,815","15,247","191,063"
4441,Building mat. and supplies dealers,"10,767","10,740","12,563","14,083","14,943","14,716","15,012","14,189","14,506","15,003","12,799","12,747","162,068"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413, Hardware stores,997,875,"1,020","1,196","1,332","1,296","1,271","1,220","1,171","1,245","1,141","1,188","13,952"
445,Food and beverage stores,"33,175","30,538","34,446","32,637","35,522","33,570","35,396","35,191","33,039","34,401","34,128","37,330","409,373"
4451,Grocery stores,"30,534","27,985","31,513","29,853","32,412","30,527","32,232","32,032","30,142","31,319","31,032","32,989","372,570"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,706","1,621","1,853","1,817","2,060","2,002","2,098","2,079","1,892","2,050","2,082","2,821","24,081"
446,Health and personal care stores,"9,306","9,022","9,962","9,482","9,965","9,728","9,860","9,769","9,603","10,028","9,716","12,231","118,672"
44611,Pharmacies and drug stores,"7,889","7,615","8,330","7,885","8,300","7,968","8,065","7,997","7,930","8,309","8,146","10,389","98,823"
447,Gasoline stations,"15,956","14,912","16,562","16,364","17,316","17,049","17,478","17,733","16,791","17,162","16,006","16,371","199,700"
448,Clothing and clothing access. stores,"8,194","8,835","10,840","10,131","11,505","10,654","10,734","12,461","10,942","11,635","13,244","21,118","140,293"
4481,Clothing stores,"5,785","5,902","7,640","7,110","7,916","7,444","7,540","8,802","7,797","8,436","9,522","13,828","97,722"
44811, Men's clothing stores,697,633,746,716,809,793,737,846,761,870,987,"1,474","10,069"
44812,Women's clothing stores,"1,699","1,813","2,353","2,227","2,429","2,199","2,103","2,334","2,265","2,358","2,486","3,556","27,822"
44814,Family clothing stores,"2,487","2,542","3,396","3,144","3,539","3,404","3,588","4,202","3,558","3,973","4,708","6,702","45,243"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,279","1,429","1,902","1,663","1,888","1,770","1,773","2,200","1,702","1,689","1,778","2,377","21,450"
44831,Jewelry stores,"1,034","1,400","1,175","1,258","1,585","1,330","1,313","1,348","1,334","1,395","1,799","4,658","19,629"
451,"Sporting goods, hobby, book, and music stores","4,830","4,113","4,735","4,607","4,874","4,963","4,848","5,526","5,027","4,961","6,162","10,642","65,288"
45111, Sporting goods stores,"1,337","1,331","1,609","1,726","1,788","1,970","1,838","1,955","1,595","1,521","1,651","2,846","21,167"
45112," Hobby, toy, and game stores",730,791,"1,032",896,947,940,963,958,971,"1,141","2,009","3,643","15,021"
451211,Book stores,"1,558",825,813,806,894,875,830,"1,301","1,158",923,994,"1,765","12,742"
452,General merchandise stores,"21,164","21,560","25,681","24,490","27,443","26,328","25,897","28,066","24,928","27,906","32,529","45,371","331,363"
4521,Department stores (excl.L.D),"13,463","14,077","17,084","16,180","18,118","17,259","16,673","18,633","16,229","18,259","22,114","32,019","220,108"
452112,Discount dept. stores,"7,935","8,197","9,941","9,466","10,643","10,285","9,931","10,709","9,245","10,419","12,406","16,946","126,123"
452111,Department stores(excl. discount department stores),"5,528","5,880","7,143","6,714","7,475","6,974","6,742","7,924","6,984","7,840","9,708","15,073","93,985"
4521,Department stores (incl. L.D.)(2),"13,741","14,370","17,451","16,538","18,520","17,645","17,051","19,053","16,604","18,676","22,630","32,783","225,062"
452112,Discount dept. stores,"8,042","8,311","10,079","9,601","10,799","10,439","10,083","10,876","9,393","10,589","12,609","17,228","128,049"
452111,Department stores(excl. discount department stores),"5,699","6,059","7,372","6,937","7,721","7,206","6,968","8,177","7,211","8,087","10,021","15,555","97,013"
4529,Other general merchandise stores,"7,701","7,483","8,597","8,310","9,325","9,069","9,224","9,433","8,699","9,647","10,415","13,352","111,255"
45291,Warehouse clubs and supercenters,"5,696","5,434","6,243","6,104","6,852","6,697","6,817","6,947","6,448","7,186","7,734","9,761","81,919"
45299,All other gen. merchandise stores,"2,005","2,049","2,354","2,206","2,473","2,372","2,407","2,486","2,251","2,461","2,681","3,591","29,336"
453,Miscellaneous store retailers,"6,415","6,829","6,975","7,035","7,465","7,464","7,526","7,661","7,565","7,614","7,406","10,277","90,232"
4532,"Office supplies, stationery, and gift stores","2,620","2,632","2,596","2,490","2,513","2,422","2,538","2,811","2,690","2,841","2,908","4,606","33,667"
45321,Office supplies and stationery stores,"1,686","1,448","1,394","1,345","1,291","1,234","1,330","1,551","1,529","1,526","1,310","1,690","17,334"
45322,"Gift, novelty, and souvenir stores",934,"1,184","1,202","1,145","1,222","1,188","1,208","1,260","1,161","1,315","1,598","2,916","16,333"
4533,Used merchandise stores,621,687,620,559,558,584,667,674,691,766,740,891,"8,058"
454,Nonstore retailers,"10,532","9,813","10,607","10,064","9,695","9,396","9,495","9,104","10,278","11,506","11,852","13,848","126,190"
4541,Electronic shopping and mail-order houses,"5,042","4,577","5,594","5,491","5,304","5,204","5,198","5,165","6,080","6,693","7,029","8,690","70,067"
45431,Fuel dealers,"3,016","2,311","1,996","1,706","1,461","1,256","1,273","1,352","1,452","1,752","1,920","2,446","21,941"
722,Food services and drinking places,"19,316","19,128","21,383","21,110","22,674","21,874","22,665","23,300","21,392","22,106","20,751","21,665","257,364"
7221,Full service restaurants,"8,658","8,610","9,559","9,301","9,942","9,428","10,036","10,481","9,505","9,813","9,192","9,661","114,186"
7222, Limited service eating places,"8,060","8,015","9,068","9,060","9,817","9,558","9,701","9,806","8,929","9,268","8,748","9,092","109,122"
7224,Drinking places (alcoholic beverages),"1,051","1,000","1,102","1,094","1,143","1,094","1,175","1,212","1,109","1,185","1,102","1,112","13,379"
,ADJUSTED(3),,,,,,,,,,,,,
," Retail and food services sales, total","223,524","225,409","226,136","224,588","222,906","226,048","228,738","229,317","230,284","229,822","230,486","231,197",
, Retail sales and food services excl motor vehicle and parts ,"169,514","170,808","171,903","170,727","170,715","171,982","173,483","173,829","174,950","174,966","175,172","175,434",
,"Retail sales, total","202,414","204,273","204,965","203,372","201,676","204,666","207,049","207,643","208,298","208,064","208,982","209,379",
,"Retail sales, total (excl. motor vehicle and parts dealers)","148,404","149,672","150,732","149,511","149,485","150,600","151,794","152,155","152,964","153,208","153,668","153,616",
,GAFO(1),"58,231","58,431","58,725","58,346","58,582","59,149","59,814","59,997","60,062","60,522","60,857","60,859",
441,Motor vehicle and parts dealers,"54,010","54,601","54,233","53,861","52,191","54,066","55,255","55,488","55,334","54,856","55,314","55,763",
"4411,4412",Automobile and other motor vehicle dealers,"49,223","49,794","49,373","49,005","47,406","49,176","50,346","50,536","50,355","49,941","50,318","50,945",
4413,"Automotive parts, acc., and tire stores","4,787","4,807","4,860","4,856","4,785","4,890","4,909","4,952","4,979","4,915","4,996","4,818",
"442,443","Furniture, home furn, electronics, and appliance stores","11,339","11,570","11,623","11,802","11,776","11,843","11,968","12,070","12,080","12,066","12,261","12,311",
442,Furniture and home furnishings stores,"5,823","5,847","5,916","5,968","6,004","6,034","6,039","6,146","6,162","6,154","6,267","6,290",
443,Electronics and appliance stores,"5,516","5,723","5,707","5,834","5,772","5,809","5,929","5,924","5,918","5,912","5,994","6,021",
44312, Computer and software stores,"1,873","1,933","1,984","2,057","2,064","2,042","2,115","2,104","2,095","2,111","2,180","2,162",
444,Building mat. and garden equip. and supplies dealers,"15,197","15,561","15,862","15,709","15,805","15,918","15,973","16,027","16,283","16,232","16,158","16,356",
4441,Building mat. and supplies dealers,"12,895","13,243","13,422","13,425","13,450","13,526","13,537","13,552","13,776","13,752","13,660","13,795",
445,Food and beverage stores,"34,049","33,989","34,156","34,056","33,978","33,892","34,106","34,256","34,281","34,348","34,230","34,190",
4451,Grocery stores,"31,030","30,991","31,109","31,065","30,987","30,804","31,022","31,160","31,171","31,225","31,125","31,063",
4453,"Beer, wine and liquor stores","1,939","1,939","1,973","1,962","1,977","2,039","2,017","2,009","2,024","2,056","2,055","2,055",
446,Health and personal care stores,"9,448","9,649","9,922","9,578","9,722","9,916","9,950","9,989","10,077","10,058","10,217","10,201",
44611,Pharmacies and drug stores,"7,953","8,084","8,280","7,997","8,137","8,231","8,230","8,270","8,347","8,326","8,503","8,509",
447,Gasoline stations,"16,938","16,984","16,969","16,613","16,367","16,378","16,396","16,682","16,757","16,711","16,638","16,536",
448,Clothing and clothing access. stores,"11,513","11,468","11,623","11,195","11,413","11,643","11,735","11,828","11,845","11,881","11,936","12,110",
4481,Clothing stores,"8,002","7,924","8,007","7,791","7,971","8,125","8,186","8,331","8,252","8,316","8,317","8,446",
44811, Men's clothing stores,832,827,830,805,830,834,854,858,843,856,856,851,
44812,Women's clothing stores,"2,383","2,389","2,367","2,272","2,253","2,300","2,311","2,339","2,350","2,319","2,326","2,336",
4482,Shoe stores,"1,757","1,782","1,845","1,685","1,766","1,797","1,798","1,786","1,795","1,799","1,812","1,850",
44831,Jewelry stores,"1,628","1,636","1,630","1,594","1,551","1,599","1,625","1,601","1,680","1,643","1,683","1,680",
451,"Sporting goods, hobby, book, and music stores","5,403","5,300","5,326","5,320","5,368","5,460","5,417","5,370","5,440","5,524","5,695","5,569",
452,General merchandise stores,"27,216","27,262","27,304","27,179","27,328","27,433","27,949","27,939","27,868","28,155","28,151","28,008",
4521,Department stores (excl. L.D.),"18,138","18,185","18,238","18,096","18,194","18,276","18,529","18,556","18,446","18,580","18,652","18,427",
4529,Other general merchandise stores,"9,078","9,077","9,066","9,083","9,134","9,157","9,420","9,383","9,422","9,575","9,499","9,581",
45291,Warehouse clubs and supercenters,"6,562","6,563","6,572","6,656","6,698","6,724","6,949","6,899","6,948","7,143","7,082","7,193",
45299,All other gen. merchandise stores,"2,516","2,514","2,494","2,427","2,436","2,433","2,471","2,484","2,474","2,432","2,417","2,388",
453,Miscellaneous stores retailers,"7,295","7,539","7,459","7,417","7,181","7,474","7,464","7,562","7,664","7,704","7,707","7,845",
454,Nonstore retailers,"10,006","10,350","10,488","10,642","10,547","10,643","10,836","10,432","10,669","10,529","10,675","10,490",
4541,Electronic shopping and mail order houses,"5,307","5,442","5,755","5,911","5,771","5,854","5,840","5,863","6,160","6,074","6,023","6,081",
45431,Fuel dealers,"1,947","1,776","1,752","1,858","1,831","1,805","1,813","1,880","1,793","1,775","1,916","1,789",
722,Food services and drinking places,"21,110","21,136","21,171","21,216","21,230","21,382","21,689","21,674","21,986","21,758","21,504","21,818",
,,,,,,,,,,,,,,
(NA) Not available,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
(2) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,
"(3) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
