Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2012,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2012,Feb. 2012,Mar. 2012,Apr. 2012,May 2012,Jun. 2012,Jul. 2012,Aug. 2012,Sep. 2012,Oct. 2012,Nov. 2012,Dec. 2012,TOTAL,,
442,Furniture and home furnishings stores,"6,886","7,192","7,811","6,894","7,705","7,394","7,560","8,065","7,427","7,234","8,220","9,164","91,552",,
4421,Furniture stores,"3,910","4,342","4,460","3,813","4,206","4,083","4,146","4,364","4,108","3,760","4,189","4,287","49,668",,
4422,Home furnishings stores,"2,976","2,850","3,351","3,081","3,499","3,311","3,414","3,701","3,319","3,474","4,031","4,877","41,884",,
44221,Floor covering stores(2),"1,112","1,111","1,277","1,246","1,402","1,317","1,291","1,507","1,290","1,374","1,333","1,260","15,520",,
442299,All other home furnishings stores,"1,784","1,667","1,985","1,748","2,006","1,906","2,012","2,094","1,939","1,998","2,596","3,530","25,265",,
443,Electronics and appliance stores,"7,687","8,122","8,385","7,128","7,883","7,916","8,102","8,385","7,744","7,595","10,336","13,361","102,644",,
44311,"Appl.,TV, and other elect. stores","5,482","5,930","5,806","5,021","5,606","5,711","5,899","6,109","5,481","5,408","7,225","9,402","73,080",,
443111,Household appliance stores,"1,173","1,268","1,328","1,204","1,403","1,415","1,377","1,413","1,308","1,303","1,646","1,619","16,457",,
443112," Radio, T.V., and other elect. stores","4,309","4,662","4,478","3,817","4,203","4,296","4,522","4,696","4,173","4,105","5,579","7,783","56,623",,
44312, Computer and software stores,"2,004","1,986","2,328","1,901","2,005","1,955","1,958","2,019","2,033","1,994","2,885","3,674","26,742",,
444,Building mat. and garden equip. and supplies dealers,"18,008","18,530","24,194","26,028","29,419","25,809","23,954","24,203","22,350","24,678","23,524","21,172","281,869",,
4441,Building mat. and supplies dealers,"15,967","16,413","20,526","21,158","24,114","22,063","21,152","21,555","19,646","21,507","20,441","18,074","242,616",,
44412,Paint and wallpaper stores,585,623,756,757,854,871,873,931,829,818,701,576,"9,174",,
44413, Hardware stores,"1,424","1,364","1,712","1,924","2,216","1,942","1,735","1,705","1,557","1,758","1,748","1,736","20,821",,
445,Food and beverage stores,"49,905","48,920","52,623","50,922","54,046","52,806","52,992","53,588","51,295","52,437","53,145","57,201","629,880",,
4451,Grocery stores,"45,511","44,219","47,453","45,805","48,479","47,287","47,561","48,156","46,178","47,135","47,502","49,591","564,877",,
44511,Supermarkets and other grocery (except convenience) stores,"43,646","42,341","45,308","43,770","46,315","45,157","45,438","45,962","44,128","45,071","45,587","47,638","540,361",,
4453,"Beer, wine, and liquor stores","3,029","3,238","3,591","3,449","3,830","3,862","3,779","3,799","3,548","3,673","3,920","5,193","44,911",,
446,Health and personal care stores,"22,863","22,740","23,987","22,748","23,515","22,170","22,305","23,128","21,517","22,992","22,479","25,355","275,799",,
44611,Pharmacies and drug stores,"19,424","19,081","19,974","19,082","19,737","18,463","18,599","19,213","17,891","19,518","18,750","20,690","230,422",,
447,Gasoline stations,"41,332","42,150","48,326","47,610","49,157","46,462","46,655","50,210","47,240","49,049","44,522","42,694","555,407",,
448,Clothing and clothing access. stores,"14,317","17,869","20,100","18,560","19,905","18,661","18,191","20,657","18,353","18,811","21,948","31,401","238,773",,
4481,Clothing stores,"10,645","12,557","15,139","13,958","14,542","13,974","13,635","15,052","13,668","14,204","16,484","21,484","175,342",,
44811, Men's clothing stores,554,575,657,750,766,743,649,655,728,754,777,"1,149","8,757",,
44812,Women's clothing stores,"2,668","3,185","4,031","3,773","3,881","3,547","3,252","3,452","3,510","3,658","4,015","4,924","43,896",,
44814,Family clothing stores,"5,048","6,330","7,624","6,884","7,249","6,992","7,185","8,028","6,785","7,109","8,700","11,658","89,592",,
44819,Other clothing stores,"1,027","1,062","1,216","1,125","1,145","1,195","1,043","1,118","1,041","1,156","1,252","1,476","13,856",,
4482,Shoe stores,"1,859","2,556","2,732","2,492","2,507","2,352","2,439","3,317","2,446","2,344","2,692","3,480","31,216",,
44831,Jewelry stores,"1,667","2,596","2,048","1,946","2,665","2,139","1,937","2,109","2,038","2,053","2,533","6,029","29,760",,
451,"Sporting goods, hobby, book, and music stores","6,209","5,677","6,682","6,099","6,454","6,719","6,332","7,798","6,408","5,944","7,223","11,226","82,771",,
45111, Sporting goods stores,"2,502","2,720","3,602","3,299","3,449","3,825","3,547","3,965","3,160","2,958","3,478","5,601","42,106",,
45112," Hobby, toy, and game stores","1,063","1,182","1,259","1,146","1,175","1,120","1,113","1,117","1,148","1,263","1,929","2,963","16,478",,
451211,Book stores,"1,703",815,749,736,879,832,780,"1,823","1,093",717,755,"1,319","12,201",,
452,General merchandise stores,"45,683","49,683","53,167","50,655","53,149","52,333","50,785","53,737","49,383","51,456","59,091","73,917","643,039",,
4521,Department stores (excl.L.D),"11,447","13,188","14,470","13,604","14,138","13,938","13,175","14,747","13,165","13,529","17,681","24,712","177,794",,
452112,Discount dept. stores,"7,650","8,602","9,465","8,659","9,069","9,090","8,647","9,817","8,445","8,823","11,102","14,910","114,279",,
452111,Department stores(excl. discount department stores),"3,797","4,586","5,005","4,945","5,069","4,848","4,528","4,930","4,720","4,706","6,579","9,802","63,515",,
4521,Department stores (incl. L.D.)(3),"11,659","13,430","14,733","13,857","14,395","14,193","13,419","15,013","13,406","13,772","18,012","25,121","181,010",,
452112,Discount dept. stores,"7,756","8,721","9,594","8,779","9,190","9,216","8,770","9,958","8,569","8,954","11,267","15,108","115,882",,
452111,Department stores(excl. discount department stores),"3,903","4,709","5,139","5,078","5,205","4,977","4,649","5,055","4,837","4,818","6,745","10,013","65,128",,
4529,Other general merchandise stores,"34,236","36,495","38,697","37,051","39,011","38,395","37,610","38,990","36,218","37,927","41,410","49,205","465,245",,
45291,Warehouse clubs and supercenters,"30,188","31,996","33,685","32,355","33,985","33,624","33,002","34,270","31,733","33,057","36,048","42,471","406,414",,
45299,All other gen. merchandise stores,"4,048","4,499","5,012","4,696","5,026","4,771","4,608","4,720","4,485","4,870","5,362","6,734","58,831",,
453,Miscellaneous store retailers,"7,955","8,592","8,947","8,569","9,717","9,438","9,153","9,605","8,901","9,622","9,116","10,478","110,093",,
4532,"Office supplies, stationery, and gift stores","2,645","2,690","2,641","2,431","2,783","2,554","2,590","3,050","2,641","2,913","2,775","3,705","33,418",,
45321,Office supplies and stationery stores,"1,661","1,507","1,487","1,271","1,368","1,257","1,305","1,818","1,463","1,375","1,351","1,564","17,427",,
45322,"Gift, novelty, and souvenir stores",984,"1,183","1,154","1,160","1,415","1,297","1,285","1,232","1,178","1,538","1,424","2,141","15,991",,
4533,Used merchandise stores,"1,105","1,228","1,284","1,161","1,217","1,169","1,187","1,286","1,239","1,317","1,283","1,351","14,827",,
454,Nonstore retailers,"32,515","31,750","33,163","30,547","32,429","30,516","30,379","33,036","30,965","34,108","39,774","47,238","406,420",,
4541,Electronic shopping and mail-order houses,"24,524","23,969","25,680","24,175","26,105","24,775","24,765","27,121","25,239","27,280","32,545","39,639","325,817",,
45431,Fuel dealers,"4,659","4,164","3,358","2,628","2,301","2,004","2,058","2,260","2,376","3,048","3,601","3,908","36,365",,
722,Food services and drinking places,"39,706","41,005","45,727","43,834","45,566","44,975","44,575","45,000","43,082","43,619","42,496","45,309","524,894",,
7221,Full service restaurants,"17,603","18,059","20,160","19,029","19,618","19,397","19,368","19,344","18,185","18,288","18,199","20,309","227,559",,
7222, Limited service eating places,"17,003","17,513","19,473","18,667","19,540","19,560","19,670","19,806","18,386","18,981","18,352","19,156","226,107",,
7224,Drinking places (alcoholic beverages),"1,571","1,639","1,950","1,763","1,814","1,875","1,894","1,911","1,793","1,721","1,702","1,833","21,466",,
,ADJUSTED(4),,,,,,,,,,,,,,,
," Retail and food services sales, total","395,431","400,305","402,206","400,070","399,694","395,977","398,079","402,296","406,937","405,808","407,798","410,441",,,
, Retail sales and food services excl motor vehicle and parts ,"323,919","327,327","329,191","327,127","326,264","323,310","325,029","328,455","330,783","331,224","332,131","332,973",,,
,"Retail sales, total","352,598","357,278","359,189","356,541","356,256","352,397","354,292","358,479","362,886","362,014","363,393","365,669",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","281,086","284,300","286,174","283,598","282,826","279,730","281,242","284,638","286,732","287,430","287,726","288,201",,,
,GAFO(1),"98,582","99,483","99,905","98,574","99,006","98,830","99,124","98,975","99,261","98,878","99,109","100,241",,,
441,Motor vehicle and parts dealers,"71,512","72,978","73,015","72,943","73,430","72,667","73,050","73,841","76,154","74,584","75,667","77,468",,,
"4411,4412",Automobile and other motor vehicle dealers,"64,282","65,867","66,014","65,918","66,483","65,691","65,988","66,922","69,099","67,531","68,683","70,483",,,
4413,"Automotive parts, acc., and tire stores","7,230","7,111","7,001","7,025","6,947","6,976","7,062","6,919","7,055","7,053","6,984","6,985",,,
"442,443","Furniture, home furn, electronics, and appliance stores","16,104","16,070","16,220","15,990","16,204","16,060","16,317","16,106","16,077","15,750","16,223","16,604",,,
442,Furniture and home furnishings stores,"7,702","7,659","7,628","7,559","7,651","7,553","7,667","7,594","7,586","7,404","7,590","7,880",,,
443,Electronics and appliance stores,"8,402","8,411","8,592","8,431","8,553","8,507","8,650","8,512","8,491","8,346","8,633","8,724",,,
44312, Computer and software stores,"2,109","2,124","2,276","2,231","2,233","2,219","2,230","2,178","2,222","2,191","2,281","2,279",,,
444,Building mat. and garden equip. and supplies dealers,"23,660","23,732","24,684","23,376","22,792","22,464","22,682","23,126","23,754","23,724","24,063","24,341",,,
4441,Building mat. and supplies dealers,"20,314","20,465","21,052","20,036","19,701","19,594","19,603","19,977","20,233","20,347","20,668","20,895",,,
445,Food and beverage stores,"51,730","51,728","52,080","52,345","52,377","52,306","52,516","52,398","52,778","53,071","52,893","52,890",,,
4451,Grocery stores,"46,392","46,400","46,706","46,931","46,930","46,912","47,137","47,073","47,362","47,611","47,407","47,365",,,
4453,"Beer, wine and liquor stores","3,689","3,688","3,721","3,753","3,770","3,739","3,698","3,660","3,723","3,763","3,798","3,835",,,
446,Health and personal care stores,"22,955","23,133","23,131","23,141","23,077","22,553","22,971","22,944","22,697","22,719","22,891","23,092",,,
44611,Pharmacies and drug stores,"19,385","19,391","19,355","19,333","19,274","18,859","19,115","19,136","18,952","19,023","19,036","19,157",,,
447,Gasoline stations,"45,570","46,990","47,239","46,768","45,898","43,873","43,603","46,491","47,193","48,087","46,915","45,858",,,
448,Clothing and clothing access. stores,"19,573","20,028","19,975","19,457","19,626","19,799","19,736","19,837","20,081","19,864","19,936","20,141",,,
4481,Clothing stores,"14,438","14,640","14,772","14,393","14,436","14,613","14,544","14,619","14,691","14,632","14,618","14,614",,,
44811, Men's clothing stores(5),718,700,697,724,725,745,731,727,751,741,724,753,,,
44812,Women's clothing stores,"3,675","3,699","3,789","3,621","3,624","3,653","3,642","3,537","3,656","3,680","3,647","3,594",,,
4482,Shoe stores,"2,557","2,682","2,609","2,533","2,556","2,545","2,576","2,610","2,650","2,584","2,634","2,599",,,
44831,Jewelry stores,"2,395","2,520","2,409","2,345","2,449","2,439","2,427","2,421","2,516","2,415","2,454","2,695",,,
451,"Sporting goods, hobby, book, and music stores","6,749","6,898","7,041","7,035","7,046","6,927","6,943","6,834","6,839","6,832","6,688","6,947",,,
452,General merchandise stores,"53,259","53,589","53,825","53,294","53,283","53,287","53,404","53,579","53,556","53,709","53,497","53,696",,,
4521,Department stores (excl. L.D.),"15,056","15,142","15,262","14,870","14,759","14,791","14,864","14,787","14,737","14,610","14,501","14,508",,,
4529,Other general merchandise stores,"38,203","38,447","38,563","38,424","38,524","38,496","38,540","38,792","38,819","39,099","38,996","39,188",,,
45291,Warehouse clubs and supercenters,"33,320","33,609","33,551","33,598","33,682","33,691","33,710","33,931","33,939","34,150","34,072","34,113",,,
45299,All other gen. merchandise stores,"4,883","4,838","5,012","4,826","4,842","4,805","4,830","4,861","4,880","4,949","4,924","5,075",,,
453,Miscellaneous stores retailers,"9,243","9,351","9,182","9,198","8,962","9,062","9,146","9,091","9,139","9,112","9,237","9,386",,,
454,Nonstore retailers,"32,243","32,781","32,797","32,994","33,561","33,399","33,924","34,232","34,618","34,562","35,383","35,246",,,
4541,Electronic shopping and mail order houses,"25,653","26,224","26,124","26,192","26,638","26,668","27,036","27,478","27,796","27,695","28,523","28,517",,,
45431,Fuel dealers,"2,850","2,785","2,737","3,035","3,156","3,131","3,256","3,280","3,314","3,270","3,289","2,916",,,
722,Food services and drinking places,"42,833","43,027","43,017","43,529","43,438","43,580","43,787","43,817","44,051","43,794","44,405","44,772",,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we reinstated the previously suppressed not adjusted estimates of sales for ",,,,,,,,,,,,,,,,
"NAICS 44221 (Floor Covering Stores) from 2012 forward. Monthly sales estimates for 2012 were revised via benchmarking to the 2012 ARTS results. Additionally, estimates from 2013 ",,,,,,,,,,,,,,,,
forward were analyzed and validated.,,,,,,,,,,,,,,,,
(3) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,,,
"(4) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
"(5) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
