Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2013,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013,TOTAL,
"442,443","Furniture, home furn, electronics, and appliance stores","15,330","15,194","15,995","14,520","15,783","15,468","16,073","16,895","15,740","16,142","19,254","22,229","198,623",
442,Furniture and home furnishings stores,"7,223","6,997","7,753","7,167","7,879","7,582","7,984","8,457","7,831","8,018","8,812","9,176","94,879",
4421,Furniture stores,"3,889","3,892","4,351","3,838","4,260","4,116","4,262","4,588","4,276","4,267","4,573","4,210","50,522",
4422,Home furnishings stores,"3,334","3,105","3,402","3,329","3,619","3,466","3,722","3,869","3,555","3,751","4,239","4,966","44,357",
44221,Floor covering stores(2),"1,208","1,176","1,295","1,293","1,427","1,401","1,493","1,570","1,451","1,507","1,431","1,292","16,544",
442299,All other home furnishings stores,"2,022","1,839","2,013","1,939","2,086","1,952","2,109","2,194","1,995","2,129","2,696","3,572","26,546",
443,Electronics and appliance stores,"8,107","8,197","8,242","7,353","7,904","7,886","8,089","8,438","7,909","8,124","10,442","13,053","103,744",
44311,"Appl.,TV, and other elect. stores","5,646","5,931","5,842","5,306","5,844","5,727","5,960","6,145","5,486","5,593","7,073","8,812","73,365",
443111,Household appliance stores,"1,245","1,296","1,385","1,311","1,485","1,407","1,493","1,468","1,399","1,433","1,587","1,620","17,129",
443112," Radio, T.V., and other elect. stores","4,401","4,635","4,457","3,995","4,359","4,320","4,467","4,677","4,087","4,160","5,486","7,192","56,236",
44312, Computer and software stores,"2,261","2,069","2,189","1,829","1,826","1,935",(S),(S),(S),(S),(S),(S),"12,109",
444,Building mat. and garden equip. and supplies dealers,"19,319","18,692","23,190","28,893","32,849","27,918","27,655","26,298","24,484","26,313","24,053","22,486","302,150",
4441,Building mat. and supplies dealers,"17,093","16,454","19,849","23,950","26,648","23,619","24,155","23,300","21,674","23,139","21,114","19,315","260,310",
44412,Paint and wallpaper stores,665,631,746,842,917,872,932,943,829,840,685,595,"9,497",
44413, Hardware stores,"1,483","1,420","1,626","1,871","2,028","1,915","1,813","1,808","1,687","1,838","1,774","1,828","21,091",
445,Food and beverage stores,"51,951","48,898","54,597","50,613","55,561","53,486","54,721","55,333","51,832","53,765","54,683","58,080","643,520",
4451,Grocery stores,"47,340","44,108","49,182","45,550","49,804","47,973","48,989","49,523","46,576","48,299","48,847","50,230","576,421",
44511,Supermarkets and other grocery (except convenience) stores,"45,420","42,212","47,050","43,410","47,470","45,673","46,612","47,138","44,366","46,119","46,778","48,172","550,420",
4453,"Beer, wine, and liquor stores","3,200","3,274","3,674","3,511","4,025","3,866","4,059","4,127","3,683","3,839","4,082","5,284","46,624",
446,Health and personal care stores,"23,520","21,971","23,788","23,104","23,853","22,426","23,389","23,692","23,084","24,440","23,510","26,984","283,761",
44611,Pharmacies and drug stores,"19,884","18,276","19,682","19,226","19,851","18,609","19,531","19,616","19,257","20,533","19,597","22,109","236,171",
447,Gasoline stations,"41,832","42,258","47,725","46,756","49,088","48,331","49,616","49,298","45,767","46,155","42,016","42,734","551,576",
448,Clothing and clothing access. stores,"15,161","17,378","20,572","19,186","20,771","18,933","19,130","21,520","18,122","19,844","22,410","31,521","244,548",
4481,Clothing stores,"11,294","12,228","15,350","14,094","15,128","14,102","14,252","15,572","13,435","14,762","16,700","21,600","178,517",
44811, Men's clothing stores,638,598,729,767,800,721,688,731,721,831,843,"1,142","9,209",
44812,Women's clothing stores,"2,789","2,936","3,905","3,668","3,919","3,433","3,340","3,662","3,473","3,712","4,063","5,048","43,948",
44814,Family clothing stores,"5,499","6,139","7,750","7,095","7,751","7,286","7,640","8,134","6,869","7,768","9,005","11,653","92,589",
44819,Other clothing stores,"1,041","1,151","1,353","1,193","1,196","1,260","1,115","1,283","1,021","1,037","1,178","1,523","14,351",
4482,Shoe stores,"1,908","2,428","2,880","2,664","2,693","2,494","2,661","3,572","2,466","2,642","2,817","3,746","32,971",
44831,Jewelry stores,"1,781","2,528","2,128","2,229","2,697","2,120","2,000","2,144","2,010","2,232","2,666","5,770","30,305",
451,"Sporting goods, hobby, book, and music stores","6,677","5,751","6,790","6,090","6,509","6,642","6,587","7,835","6,416","6,111","7,624","11,361","84,393",
45111, Sporting goods stores,"3,071","3,016","3,830","3,423","3,646","3,941","3,806","4,132","3,182","3,102","3,704","5,507","44,360",
45112," Hobby, toy, and game stores","1,019","1,068","1,239","1,107","1,116","1,057","1,106","1,145","1,161","1,338","2,134","3,263","16,753",
451211,Book stores,"1,661",746,711,667,826,729,715,"1,561","1,098",700,723,"1,294","11,431",
452,General merchandise stores,"46,677","48,570","54,742","50,040","54,869","53,270","52,042","55,326","50,000","53,018","60,519","74,020","653,093",
4521,Department stores (excl.L.D),"11,380","12,125","14,041","12,585","14,071","13,374","12,711","14,271","12,623","13,439","17,060","24,069","171,749",
452112,Discount dept. stores,"7,591","7,943","9,173","8,067","9,081","8,830","8,532","9,517","8,118","8,691","10,727","14,330","110,600",
452111,Department stores(excl. discount department stores),"3,789","4,182","4,868","4,518","4,990","4,544","4,179","4,754","4,505","4,748","6,333","9,739","61,149",
4521,Department stores (incl. L.D.)(3),"11,621","12,367","14,321","12,837","14,365","13,645","12,961","14,544","12,867","13,684","17,369","24,499","175,080",
452112,Discount dept. stores,"7,697","8,056","9,296","8,176","9,206","8,951","8,649","9,650","8,233","8,815","10,881","14,533","112,143",
452111,Department stores(excl. discount department stores),"3,924","4,311","5,025","4,661","5,159","4,694","4,312","4,894","4,634","4,869","6,488","9,966","62,937",
4529,Other general merchandise stores,"35,297","36,445","40,701","37,455","40,798","39,896","39,331","41,055","37,377","39,579","43,459","49,951","481,344",
45291,Warehouse clubs and superstores,"31,029","31,882","35,598","32,635","35,422","34,801","34,345","35,992","32,553","34,332","37,885","43,107","419,581",
45299,All other gen. merchandise stores,"4,268","4,563","5,103","4,820","5,376","5,095","4,986","5,063","4,824","5,247","5,574","6,844","61,763",
453,Miscellaneous store retailers,"8,145","8,243","8,998","8,965","10,337","9,444","9,410","9,916","9,319","10,095","9,279","10,467","112,618",
4532,"Office supplies, stationery, and gift stores","2,504","2,430","2,542","2,471","2,712","2,513","2,789","3,266","2,689","2,915","2,711","3,319","32,861",
45321,Office supplies and stationery stores,"1,542","1,365","1,360","1,299","1,254","1,148","1,286","1,779","1,414","1,299","1,304","1,452","16,502",
45322,"Gift, novelty, and souvenir stores",962,"1,065","1,182","1,172","1,458","1,365","1,503","1,487","1,275","1,616","1,407","1,867","16,359",
4533,Used merchandise stores,"1,209","1,185","1,322","1,255","1,329","1,306","1,364","1,461","1,287","1,486","1,385","1,284","15,873",
454,Nonstore retailers,"36,707","33,403","35,169","34,186","34,219","31,756","33,155","34,174","32,869","35,368","39,666","52,087","432,759",
4541,Electronic shopping and mail-order houses,"28,065","25,274","27,340","27,475","27,885","26,024","27,318","28,155","27,109","28,437","32,099","42,945","348,126",
45431,Fuel dealers,"5,059","4,590","3,964","2,848","2,162","1,749","1,860","1,939","2,188","2,962","3,671","5,170","38,162",
722,Food services and drinking places,"41,787","41,470","47,523","45,506","47,429","45,379","45,417","46,828","43,592","46,007","45,238","46,542","542,718",
7221,Full service restaurants,"18,487","18,264","21,006","19,500","20,380","19,601","19,419","20,176","18,302","19,309","19,480","20,854","234,778",
7222, Limited service eating places,"17,971","17,748","20,400","19,725","20,728","20,216","20,578","20,722","18,949","19,838","19,341","19,639","235,855",
7224,Drinking places,"1,694","1,678","2,026","1,775","1,860","1,733","1,730","1,824","1,742","1,857","1,817","1,771","21,507",
,ADJUSTED(4),,,,,,,,,,,,,,
," Retail and food services sales, total","412,657","417,357","414,578","413,359","415,500","417,471","419,158","417,795","418,877","420,065","421,473","423,643",,
, Retail sales and food services excl motor vehicle and parts ,"335,220","338,654","336,925","335,129","336,028","335,959","337,915","336,768","338,254","338,597","338,792","341,708",,
,"Retail sales, total","367,676","372,573","369,575","368,614","370,671","372,894","374,280","372,768","373,610","374,196","374,691","377,425",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","290,239","293,870","291,922","290,384","291,199","291,382","293,037","291,741","292,987","292,728","292,010","295,490",,
,GAFO(1),"101,071","100,949","100,898","100,659","100,934","101,330","101,612","100,985","101,409","102,159","101,393","100,961",,
441,Motor vehicle and parts dealers,"77,437","78,703","77,653","78,230","79,472","81,512","81,243","81,027","80,623","81,468","82,681","81,935",,
"4411,4412",Automobile and other motor vehicle dealers,"70,441","71,596","70,701","71,264","72,401","74,513","74,184","73,941","73,543","74,292","75,358","74,619",,
4413,"Automotive parts, acc., and tire stores","6,996","7,107","6,952","6,966","7,071","6,999","7,059","7,086","7,080","7,176","7,323","7,316",,
"442,443","Furniture, home furn, electronics, and appliance stores","16,580","16,587","16,332","16,304","16,362","16,618","16,541","16,582","16,643","16,904","16,735","16,387",,
442,Furniture and home furnishings stores,"7,851","7,774","7,738","7,673","7,786","7,964","7,936","7,956","8,040","8,132","8,144","7,856",,
443,Electronics and appliance stores,"8,729","8,813","8,594","8,631","8,576","8,654","8,605","8,626","8,603","8,772","8,591","8,531",,
44312, Computer and software stores,"2,298","2,259","2,202","2,193","2,082","2,255","2,254","2,311","2,402","2,453","2,453","2,375",,
444,Building mat. and garden equip. and supplies dealers,"24,545","24,973","24,581","25,077","25,469","24,989","25,603","25,443","25,513","25,189","25,202","25,331",,
4441,Building mat. and supplies dealers,"21,050","21,369","21,094","21,793","21,878","21,609","21,840","21,878","21,915","21,809","21,812","21,800",,
445,Food and beverage stores,"52,987","53,558","53,528","52,978","53,519","53,542","53,777","53,721","54,007","53,921","53,769","54,696",,
4451,Grocery stores,"47,482","47,943","47,982","47,497","47,981","48,021","48,170","48,081","48,366","48,299","48,125","48,957",,
4453,"Beer, wine and liquor stores","3,823","3,852","3,847","3,816","3,885","3,851","3,914","3,919","3,935","3,917","3,921","3,952",,
446,Health and personal care stores,"23,264","23,274","23,253","23,314","23,340","23,312","23,649","23,668","24,046","24,198","24,138","24,244",,
44611,Pharmacies and drug stores,"19,494","19,340","19,315","19,323","19,367","19,405","19,649","19,734","20,101","20,091","20,120","20,228",,
447,Gasoline stations,"46,020","48,797","47,299","45,929","45,663","46,117","46,026","45,436","45,359","44,767","44,461","46,000",,
448,Clothing and clothing access. stores,"20,440","20,133","20,234","20,514","20,375","20,385","20,547","20,291","20,284","20,687","20,223","20,529",,
4481,Clothing stores,"15,115","14,740","14,808","14,893","14,944","14,923","15,095","14,854","14,769","14,955","14,699","14,863",,
44811, Men's clothing stores(5),816,736,748,769,766,730,780,781,765,791,781,764,,
44812,Women's clothing stores,"3,810","3,554","3,616","3,625","3,632","3,621","3,687","3,703","3,679","3,694","3,644","3,687",,
4482,Shoe stores,"2,621","2,636","2,662","2,810","2,728","2,735","2,769","2,754","2,752","2,887","2,730","2,842",,
44831,Jewelry stores,"2,491","2,528","2,536","2,583","2,468","2,497","2,448","2,442","2,525","2,614","2,568","2,596",,
451,"Sporting goods, hobby, book, and music stores","7,234","7,243","7,088","6,968","7,060","7,073","7,098","6,849","6,966","6,984","6,969","6,919",,
452,General merchandise stores,"54,110","54,278","54,494","54,065","54,364","54,452","54,580","54,458","54,764","54,877","54,727","54,582",,
4521,Department stores (excl. L.D.),"14,809","14,533","14,487","14,305","14,385","14,284","14,221","14,219","14,284","14,434","14,228","14,121",,
4529,Other general merchandise stores,"39,301","39,745","40,007","39,760","39,979","40,168","40,359","40,239","40,480","40,443","40,499","40,461",,
45291,Warehouse clubs and superstores,"34,286","34,692","34,934","34,681","34,830","35,011","35,154","35,046","35,231","35,212","35,275","35,276",,
45299,All other gen. merchandise stores,"5,015","5,053","5,073","5,079","5,149","5,157","5,205","5,193","5,249","5,231","5,224","5,185",,
453,Miscellaneous stores retailers,"9,270","9,273","9,378","9,426","9,522","9,324","9,236","9,327","9,556","9,440","9,511","9,327",,
454,Nonstore retailers,"35,789","35,754","35,735","35,809","35,525","35,570","35,980","35,966","35,849","35,761","36,275","37,475",,
4541,Electronic shopping and mail order houses,"28,873","28,753","28,658","28,800","28,688","28,756","29,124","29,086","29,181","28,841","28,918","29,699",,
45431,Fuel dealers,"3,051","3,125","3,239","3,196","2,974","2,867","2,934","2,903","2,989","3,165","3,457","3,760",,
722,Food services and drinking places,"44,981","44,784","45,003","44,745","44,829","44,577","44,878","45,027","45,267","45,869","46,782","46,218",,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
" is less than 50%), or other concerns about the estimate's quality. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we reinstated the previously suppressed not adjusted estimates of sales for ",,,,,,,,,,,,,,,
"NAICS 44221 (Floor Covering Stores) from 2012 forward. Monthly sales estimates for 2012 were revised via benchmarking to the 2012 ARTS results. Additionally, estimates from 2013 ",,,,,,,,,,,,,,,
forward were analyzed and validated.,,,,,,,,,,,,,,,
(3) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,,
"(4) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
"(5) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
