Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2008,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2008,Feb. 2008,Mar. 2008,Apr. 2008,May 2008,Jun. 2008,Jul. 2008,Aug. 2008,Sep. 2008,Oct. 2008,Nov. 2008,Dec. 2008,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
," Retail and food services sales, total","342,710","343,970","372,963","368,979","398,034","378,562","383,780","382,946","350,666","350,011","335,700","384,429","4,392,750",
,Retail sales and food services excl motor vehicle and parts,"276,893","274,940","296,336","295,217","321,854","309,122","314,099","313,261","290,164","294,982","287,843","332,086","3,606,797",
,"Retail sales, total","307,644","308,244","334,464","331,051","357,342","339,831","344,191","342,508","313,411","311,565","299,372","346,685","3,936,308",
,"Retail sales, total (excl. motor vehicle and parts dealers)","241,827","239,214","257,837","257,289","281,162","270,391","274,510","272,823","252,909","256,536","251,515","294,342","3,150,355",
,GAFO(1),"82,947","85,542","91,766","87,469","97,597","92,356","92,501","98,341","84,973","88,662","101,026","133,289","1,136,469",
441,Motor vehicle and parts dealers,"65,817","69,030","76,627","73,762","76,180","69,440","69,681","69,685","60,502","55,029","47,857","52,343","785,953",
"4411,4412",Automobile and other motor vehicle dealers,"60,143","63,201","70,331","67,357","69,532","62,748","62,735","63,088","54,125","48,284","41,823","46,179","709,546",
4411,Automobile dealers,"56,322","58,688","64,387","60,812","62,090","56,164","56,533","57,676","50,009","44,718","39,002","43,232","649,633",
44111,New car dealers,"49,779","51,509","57,101","53,877","55,412","49,517","50,255","51,458","44,355","39,294","34,556","38,677","575,790",
44112,Used car dealers,"6,543","7,179","7,286","6,935","6,678","6,647","6,278","6,218","5,654","5,424","4,446","4,555","73,843",
4413,"Automotive parts, acc., and tire stores","5,674","5,829","6,296","6,405","6,648","6,692","6,946","6,597","6,377","6,745","6,034","6,164","76,407",
"442,443","Furniture, home furn, electronics, and appliance stores","16,579","16,551","16,644","15,771","17,204","16,515","17,063","17,242","15,519","15,292","17,849","21,972","204,201",
442,Furniture and home furnishings stores,"8,167","8,107","8,385","8,031","8,611","8,123","8,501","8,463","7,684","7,721","8,130","8,876","98,799",
4421,Furniture stores,"4,597","4,657","4,701","4,403","4,714","4,259","4,422","4,627","4,097","3,979","4,092","4,133","52,681",
4422,Home furnishings stores,"3,570","3,450","3,684","3,628","3,897","3,864","4,079","3,836","3,587","3,742","4,038","4,743","46,118",
44221,Floor covering stores,"1,475","1,472","1,614","1,595","1,709","1,675","1,741","1,628","1,594","1,604","1,381","1,285","18,773",
442299,All other home furnishings stores,"1,968","1,843","1,937","1,893","2,056","2,061","2,190","2,079","1,866","2,011","2,538","3,352","25,794",
443,Electronics and appliance stores,"8,412","8,444","8,259","7,740","8,593","8,392","8,562","8,779","7,835","7,571","9,719","13,096","105,402",
44311,"Appl.,TV, and other elect. stores","6,502","6,571","6,288","5,906","6,685","6,419","6,569","6,765","6,002","5,723","7,570","10,023","81,023",
443111,Household appliance stores,"1,316","1,363","1,369","1,391","1,468","1,494","1,492","1,413","1,338","1,334","1,441","1,572","16,991",
443112," Radio, T.V., and other elect. stores","5,186","5,208","4,919","4,515","5,217","4,925","5,077","5,352","4,664","4,389","6,129","8,451","64,032",
44312, Computer and software stores,"1,624","1,610","1,672","1,538","1,534","1,627","1,673","1,711","1,573","1,605","1,865","2,596","20,628",
444,Building mat. and garden equip. and supplies dealers,"20,557","20,314","23,897","28,691","31,912","29,261","28,617","25,417","25,088","25,741","21,717","20,699","301,911",
4441,Building mat. and supplies dealers,"18,681","18,250","20,725","24,377","26,298","24,828","25,043","22,756","22,374","22,812","18,980","18,061","263,185",
44412,Paint and wallpaper stores,675,665,748,826,891,885,957,902,845,840,624,566,"9,424",
44413, Hardware stores,"1,417","1,335","1,531","1,795","2,068","1,953","1,782","1,682","1,595","1,677","1,593","1,659","20,087",
445,Food and beverage stores,"45,803","44,075","47,079","45,406","49,629","47,161","49,186","49,068","46,061","47,773","47,714","50,643","569,598",
4451,Grocery stores,"41,866","39,920","42,596","40,975","44,559","42,311","44,073","44,026","41,395","42,829","42,772","44,054","511,376",
44511,Supermarkets and other grocery (except convenience) stores,"40,063","38,154","40,701","39,096","42,496","40,278","41,963","41,958","39,488","41,038","41,116","42,402","488,753",
4453,"Beer, wine, and liquor stores","2,678","2,810","2,993","3,002","3,427","3,287","3,525","3,482","3,160","3,362","3,398","4,475","39,599",
446,Health and personal care stores,"20,206","20,064","20,767","20,064","20,921","20,064","20,454","20,273","20,017","20,911","19,860","23,199","246,800",
44611,Pharmacies and drug stores,"17,450","17,202","17,721","17,144","17,871","17,039","17,414","17,201","17,177","18,019","16,976","19,654","210,868",
447,Gasoline stations,"38,691","37,617","42,231","43,668","48,521","50,095","51,739","49,079","45,195","40,637","29,879","26,387","503,739",
448,Clothing and clothing access. stores,"14,165","15,871","17,761","17,097","19,075","17,000","17,357","19,028","15,876","16,786","18,738","26,692","215,446",
4481,Clothing stores,"10,474","11,090","13,218","12,669","13,798","12,572","12,805","13,741","11,888","12,571","14,140","18,638","157,604",
44811, Men's clothing stores,613,590,686,716,765,723,630,664,645,675,720,"1,026","8,453",
44812,Women's clothing stores,"2,530","2,780","3,415","3,466","3,635","3,182","3,007","3,184","3,107","3,115","3,292","4,107","38,820",
44814,Family clothing stores,"5,224","5,584","6,555","6,259","7,018","6,430","6,956","7,476","6,008","6,565","7,741","10,452","82,268",
44819,Other clothing stores,965,909,"1,001",937,"1,012","1,030",912,874,838,914,962,"1,367","11,721",
4482,Shoe stores,"1,771","2,038","2,317","2,243","2,397","2,115","2,229","2,902","1,956","2,072","2,180","2,787","27,007",
44831,Jewelry stores,"1,794","2,605","2,070","2,039","2,709","2,154","2,157","2,217","1,904","1,992","2,247","5,035","28,923",
451,"Sporting goods, hobby, book, and music stores","6,800","5,760","6,378","6,128","6,703","6,608","6,616","8,202","6,394","5,834","6,962","11,161","83,546",
