"Briton killed in Japan was strangled, police say",Getting a bad reception,Toxic Fukushima fallout threatens fishermen's livelihoods,Japan nuclear alert and earthquake - Saturday 12 March part two,Japan marks first anniversary of earthquake and tsunami
Tokyo's Kabukicho district told to dim its red light,Japan tunnel collapse: bodies found as rescue effort continues,Tokyo toilet exhibition: giant poo slides and singing toilet seats - video,Japanese publisher defies Little Black Sambo protest,Fukuda approved as Japan PM
Sumo wrestling,Second US serviceman held over alleged sex attack in Japan,Tokyo governor quits to form new rightwing party,I looked up and couldnt see the sky,Press review: Japanese press
Chinese get life for arranging sex tour for Japanese,Nuclear crises: How do Fukushima and Chernobyl compare,Ramen noodles,Bush trip tests Tokyo friendship,China imposes airspace restrictions over Japan-controlled Senkaku islands
"60 years after the war ends, two soldiers emerge from the jungle",Japan: new head of public broadcaster shrugs off use of wartime sex slaves,Ageing Japanese go it alone,Divisions emerge in international response to North Korean rocket launch,Tornado rips through eastern Japan leaving dozens injured - video
Japan deploys Patriot missiles to protect Tokyo,India's lunar mission is new step in Asian space race,Royal baby news may halt change to succession law,Tsunami waves reach Hawaii following Japan earthquake,Japanese women hold age record
Japanese PM sings Elvis with Cruise,Japan warms to idea of an empress,William Hague issues warning to Britons in Japan - video,'Deserter' to give himself up,Japan nuclear crisis worsens as country braces for second huge earthquake
Japan's invasion of the jellyfish,Diamond-studded cake  is 1.7m Christmas treat,Japanese troops find new legitimacy through disaster work,"Nepalese man, 81, attempts Everest climb days after 80-year-old set record","Spectre of deflation horrifies bankers, but Japan now has a taste for it"
Do not cry: a nurses blog brings comfort to Japans tsunami survivors,Japanese hate speech debate abandoned as insults fly,Typhoon Halong wreaks havoc in Japan  video ,"No drink, no begging: the orderly lives of Japan's homeless",Fukushima rice banned by Japan
60-year-old single woman pregnant after IVF,China sends warplanes into disputed airspace over East China Sea ,Japans Fukushima plant opened to journalists,Aum cult fugitive was turned away from Tokyo police station,After the tsunami: Japanese survivors find reasons to sing - video
War of words over 'Japan's Schindler',Japanese PM calls early party elections,Japanese crew release anti-whaling activists,Japanese women curl up with the perfect man,Aum Supreme Truth: last Tokyo subway attack suspect is arrested
China imposes airspace restrictions over Japan-controlled Senkaku islands,Twist in tale of Rubiks cube as Japanese puzzlers go back to basics,Japan nuclear crisis: fire in fuel pools 'would raise radiation exposure',Deal could revive supersonic flights,PlayStation 3 launches in Japan
Why is India so bad for women?,Lafarge's India-Bangladesh cement project remains frozen,India asks civil servants about their periods,"Eyewitness: Hyderabad, India",Raekha Prasad and Randeep Ramesh: Indias missing girls
The peace process has a chance,"Families in India increasingly aborting girl babies, study shows",Hope withers with the crops along India's mined border,A radical reset of US-Pakistani relations required | Michael Boyle,Senior Indian policeman investigated over threat to murdered journalist
Indian Grand Prix: workers on F1 circuit 'living in destitution,Dying of hunger in a land of surplus,CIA admit 'waterboarding' al-Qaida suspects,British minister defends &pound;825m aid to help India's poor,US embassy cables: US fears possible bioterror attack in India
International Womens Day: Indians demand better rights  video,"Pakistani officers helped plan Mumbai attacks, says India",Kashmir: another kind of terror,India names two most-wanted fugitives after Mumbai attacks,Mumbai terror attacks We were told to kill until the last breath
Cheap Aids drugs under threat,Kashmir is grieving,"Eyewitness: New Delhi, India",The young initiate - picture of the day,Hindus face new challenge over razed mosque
Gandhi branded racist as Johannesburg honours freedom fighter,Bombay riots follow Ghandi's arrest,Worlds cheapest car upsets environmentalists,Triple murder in India highlights increase in 'honour killings,India tests long-range missile
Roy goes to prison and agonises over fine or serving longer term,Yahoo employee alleged to be Indian terror group's media officer,Leader: The dynasty continues,India vows to punish Pakistan,At least 145 killed in India temple stampede
India starts to count its losses,Indian PM tries to calm sectarian violence in Assam,"Feeling rich, looking poor",China's first aircraft carrier launches with pride amid regional tensions,Four charged with twin Bombay bombings
"Anna Hazare, Indian anti-corruption campaigner, freed from jail  in pictures",Record rainfall brings chaos in India,Hundreds die in pilgrimage crush,India ready to react,Untouchables embrace Buddha to escape oppression
"How the world sees the G20 summit - fear, apathy and Barack Obama ",Rampaging elephant shot after killing seven Indian villagers,China and India: Booming Asian economies leaving women and children behind,Indian villagers left in fear after several killed by tigers,Many killed in series of bomb blasts across Delhi
Group claiming Mumbai bombs issues new threat,Tension rises as two guards die in Kashmir fighting,Indian state wants a new time zone,Tariffs: WTO talks collapse after India and China clash with America over farm products,Indian cricket captains whisky advert angers team-mates mother
New generation of rebels steps up violence in Kashmir,"West too soft on Pakistan, says India","Mumbai attacks: 'A shot sounded and we thought that's it, we're going to be executed",India is split as Gandhi daughter shuns the sari,MCC teams up with UK firm to build cricket communities in India
The invisible women of Pakistan,South Africa: more of a briquette than a Bric,India and Pakistan prepare for cricket semi-final showdown,India-Pakistan press review,Indian police arrest hunger striker
"Veteran actor, 10, writes and directs his own film",Blood diamonds stain Indias glittering trade,India links Pakistan to Calcutta killings,Indian court bails British eco-activist arrested for carrying satellite phone,Press review: 'She has played a masterstroke'
Delhi gang-rape: four men sentenced to death,The best and worst of times,Man-eaters rule in a land of widows as tigers get a taste for human flesh,G20 summit: round-up from newspapers around the world,Educating India's 'untouchables'
US embassy cables: Indian officials tell US neither Sri Lanka government nor Tamil Tigers respect international community,Cameron orders inquiry into claims of British role in 1984 Amritsar attack,Indian women turn to firearms against threat of violence,Plastic bag ban by Indian state,Scores killed as bomb blasts rip through Assam
